"specieex","experts","specieclu","clusterunif"
"Acrocephalus arundinaceus","high","Acrocephalus arundinaceus","medium"
"Acrocephalus melanopogon","high","Acrocephalus melanopogon","low"
"Acrocephalus schoenobaenus","high","Acrocephalus schoenobaenus","low"
"Acrocephalus scirpaceus","high","Acrocephalus scirpaceus","medium"
"Actitis hypoleucos","medium","Actitis hypoleucos","high"
"Aegithalos caudatus","medium","Aegithalos caudatus","high"
"Alauda arvensis","low","Alauda arvensis","medium"
"Alcedo atthis","high","Alcedo atthis","high"
"Anacridium aegyptium","low","Anacridium aegyptium","low"
"Anas crecca","high","Anas crecca","high"
"Anas platyrhynchos","high","Anas platyrhynchos","high"
"Anthus pratensis","medium","Anthus pratensis","medium"
"Anthus spinoletta","low","Anthus spinoletta","medium"
"Apis mellifera","high","Apis mellifera","low"
"Ardea alba","medium","Ardea alba","high"
"Ardea cinerea","high","Ardea cinerea","high"
"Ardea purpurea","medium","Ardea purpurea","high"
"Ardeola ralloides","low","Ardeola ralloides","medium"
"Aythya ferina","medium","Aythya ferina","high"
"Botaurus stellaris","low","Botaurus stellaris","low"
"Bubulcus ibis","high","Bubulcus ibis","high"
"Buteo buteo","high","Buteo buteo","high"
"Calandrella brachydactyla","low","Calandrella brachydactyla","low"
"Calidris minuta","medium","Calidris minuta","medium"
"Calidris pugnax","medium","Calidris pugnax","medium"
"Calidris temminckii","low","Calidris temminckii","low"
"Cettia cetti","high","Cettia cetti","high"
"Charadrius dubius","low","Charadrius dubius","medium"
"Charadrius hiaticula","low","Charadrius hiaticula","medium"
"Chroicocephalus ridibundus","high","Chroicocephalus ridibundus","high"
"Circaetus gallicus","low","Circaetus gallicus","medium"
"Circus aeruginosus","medium","Circus aeruginosus","high"
"Circus cyaneus","medium","Circus cyaneus","medium"
"Cisticola juncidis","high","Cisticola juncidis","high"
"Columba oenas","low","Columba oenas","low"
"Columba palumbus","medium","Columba palumbus","high"
"Coracias garrulus","low","Coracias garrulus","low"
"Corvus cornix","high","Corvus cornix","high"
"Corvus monedula","high","Corvus monedula","medium"
"Crocothemis erythraea","high","Crocothemis erythraea","low"
"Cuculus canorus","medium","Cuculus canorus","medium"
"Curruca melanocephala","low","Curruca melanocephala","high"
"Cyanistes caeruleus","medium","Cyanistes caeruleus","high"
"Cyprinus carpio","high","Cyprinus carpio","low"
"Dama dama","medium","Dama dama","low"
"Dendrocopos major","low","Dendrocopos major","medium"
"Egretta garzetta","high","Egretta garzetta","high"
"Emberiza schoeniclus","high","Emberiza schoeniclus","medium"
"Erythromma viridulum","high","Erythromma viridulum","low"
"Falco columbarius","low","Falco columbarius","low"
"Falco peregrinus","low","Falco peregrinus","medium"
"Falco subbuteo","medium","Falco subbuteo","medium"
"Falco tinnunculus","high","Falco tinnunculus","high"
"Falco vespertinus","low","Falco vespertinus","low"
"Fringilla coelebs","medium","Fringilla coelebs","high"
"Fringilla montifringilla","medium","Fringilla montifringilla","low"
"Fulica atra","low","Fulica atra","high"
"Galerida cristata","low","Galerida cristata","high"
"Gallinago gallinago","medium","Gallinago gallinago","medium"
"Gallinula chloropus","high","Gallinula chloropus","high"
"Garrulus glandarius","medium","Garrulus glandarius","high"
"Gelochelidon nilotica","low","Gelochelidon nilotica","low"
"Gonepteryx rhamni","medium","Gonepteryx rhamni","low"
"Grus grus","low","Grus grus","low"
"Haematopus ostralegus","low","Haematopus ostralegus","medium"
"Halyomorpha halys","high","Halyomorpha halys","low"
"Hieraaetus pennatus","low","Hieraaetus pennatus","low"
"Himantopus himantopus","medium","Himantopus himantopus","high"
"Hirundo rustica","high","Hirundo rustica","high"
"Hydrocoloeus minutus","medium","Hydrocoloeus minutus","low"
"Ichthyaetus melanocephalus","low","Ichthyaetus melanocephalus","medium"
"Ischnura elegans","high","Ischnura elegans","high"
"Ixobrychus minutus","low","Ixobrychus minutus","medium"
"Jynx torquilla","low","Jynx torquilla","low"
"Lanius collurio","low","Lanius collurio","low"
"Larus canus","low","Larus canus","low"
"Larus fuscus","low","Larus fuscus","low"
"Larus michahellis","high","Larus michahellis","high"
"Lasiommata megera","medium","Lasiommata megera","low"
"Lepomis gibbosus","high","Lepomis gibbosus","low"
"Leptotes pirithous","low","Leptotes pirithous","low"
"Locustella luscinioides","high","Locustella luscinioides","low"
"Luscinia megarhynchos","medium","Luscinia megarhynchos","medium"
"Lycaena phlaeas","low","Lycaena phlaeas","low"
"Macroglossum stellatarum","high","Macroglossum stellatarum","low"
"Mareca strepera","medium","Mareca strepera","high"
"Melitaea didyma","high","Melitaea didyma","medium"
"Merops apiaster","medium","Merops apiaster","medium"
"Milvus migrans","low","Milvus migrans","medium"
"Motacilla cinerea","medium","Motacilla cinerea","medium"
"Motacilla flava","high","Motacilla flava","medium"
"Muscicapa striata","high","Muscicapa striata","medium"
"Netta rufina","medium","Netta rufina","medium"
"Numenius arquata","medium","Numenius arquata","high"
"Numenius phaeopus","medium","Numenius phaeopus","low"
"Nycticorax nycticorax","low","Nycticorax nycticorax","medium"
"Oenanthe oenanthe","low","Oenanthe oenanthe","low"
"Oriolus oriolus","medium","Oriolus oriolus","medium"
"Orthetrum cancellatum","high","Orthetrum cancellatum","medium"
"Oryctes nasicornis","medium","Oryctes nasicornis","low"
"Pandion haliaetus","low","Pandion haliaetus","medium"
"Papilio machaon","high","Papilio machaon","low"
"Pararge aegeria","medium","Pararge aegeria","low"
"Parus major","medium","Parus major","high"
"Passer italiae","high","Passer italiae","high"
"Passer montanus","high","Passer montanus","medium"
"Pernis apivorus","low","Pernis apivorus","low"
"Phalacrocorax carbo","high","Phalacrocorax carbo","high"
"Phasianus colchicus","low","Phasianus colchicus","high"
"Phoenicurus ochruros","medium","Phoenicurus ochruros","medium"
"Phylloscopus collybita","medium","Phylloscopus collybita","high"
"Phylloscopus trochilus","medium","Phylloscopus trochilus","low"
"Pica pica","high","Pica pica","high"
"Picus viridis","high","Picus viridis","high"
"Pimelia bipunctata","high","Pimelia bipunctata","medium"
"Plegadis falcinellus","low","Plegadis falcinellus","medium"
"Pluvialis squatarola","low","Pluvialis squatarola","medium"
"Podarcis muralis","high","Podarcis muralis","medium"
"Podiceps cristatus","high","Podiceps cristatus","high"
"Podiceps nigricollis","low","Podiceps nigricollis","medium"
"Polyommatus icarus","medium","Polyommatus icarus","low"
"Procambarus clarkii","medium","Procambarus clarkii","medium"
"Prunella modularis","medium","Prunella modularis","medium"
"Ptyonoprogne rupestris","low","Ptyonoprogne rupestris","medium"
"Recurvirostra avosetta","medium","Recurvirostra avosetta","high"
"Regulus ignicapilla","high","Regulus ignicapilla","low"
"Remiz pendulinus","high","Remiz pendulinus","medium"
"Riparia riparia","medium","Riparia riparia","low"
"Saxicola rubetra","high","Saxicola rubetra","low"
"Saxicola rubicola","high","Saxicola rubicola","medium"
"Serinus serinus","medium","Serinus serinus","medium"
"Silurus glanis","medium","Silurus glanis","low"
"Sitta europaea","medium","Sitta europaea","medium"
"Spatula clypeata","high","Spatula clypeata","high"
"Spatula querquedula","high","Spatula querquedula","medium"
"Spinus spinus","medium","Spinus spinus","medium"
"Sterna hirundo","high","Sterna hirundo","medium"
"Streptopelia decaocto","high","Streptopelia decaocto","high"
"Streptopelia turtur","medium","Streptopelia turtur","medium"
"Sturnus vulgaris","high","Sturnus vulgaris","high"
"Sylvia atricapilla","medium","Sylvia atricapilla","high"
"Sympetrum fonscolombii","high","Sympetrum fonscolombii","low"
"Sympetrum sanguineum","high","Sympetrum sanguineum","medium"
"Sympetrum striolatum","medium","Sympetrum striolatum","low"
"Tachybaptus ruficollis","low","Tachybaptus ruficollis","high"
"Tadorna tadorna","medium","Tadorna tadorna","high"
"Tarentola mauritanica","high","Tarentola mauritanica","low"
"Threskiornis aethiopicus","medium","Threskiornis aethiopicus","medium"
"Tringa erythropus","medium","Tringa erythropus","high"
"Tringa glareola","low","Tringa glareola","medium"
"Tringa nebularia","low","Tringa nebularia","high"
"Tringa ochropus","medium","Tringa ochropus","medium"
"Tringa totanus","low","Tringa totanus","high"
"Trithemis annulata","high","Trithemis annulata","low"
"Troglodytes troglodytes","high","Troglodytes troglodytes","medium"
"Turdus merula","high","Turdus merula","high"
"Turdus philomelos","medium","Turdus philomelos","medium"
"Tyto alba","medium","Tyto alba","low"
"Vanellus vanellus","medium","Vanellus vanellus","high"
"Vanessa cardui","medium","Vanessa cardui","low"
"Xylocopa violacea","medium","Xylocopa violacea","low"
