species,nr_occs
Corvus cornix,270
Egretta garzetta,253
Ardea cinerea,246
Anas platyrhynchos,236
Circus aeruginosus,230
Pica pica,206
Falco tinnunculus,189
Ardea alba,188
Cettia cetti,179
Buteo buteo,172
Phalacrocorax carbo,167
Larus michahellis,146
Chroicocephalus ridibundus,134
Sturnus vulgaris,130
Passer italiae,126
Gallinula chloropus,125
Streptopelia decaocto,120
Hirundo rustica,113
Turdus merula,113
Ardea purpurea,106
Fringilla coelebs,102
Erithacus rubecula,96
Fulica atra,89
Bubulcus ibis,84
Columba palumbus,83
Cisticola juncidis,77
Alcedo atthis,76
Merops apiaster,75
Rallus aquaticus,74
Carduelis carduelis,68
Columba livia,68
Delichon urbicum,67
Acrocephalus scirpaceus,66
Apus apus,66
Motacilla alba,65
Ardeola ralloides,58
Circus cyaneus,57
Sylvia atricapilla,55
Saxicola rubicola,51
Luscinia megarhynchos,50
Phylloscopus collybita,50
Phasianus colchicus,48
Cuculus canorus,45
Cyanistes caeruleus,43
Phoenicurus ochruros,43
Serinus serinus,41
Podiceps cristatus,40
Threskiornis aethiopicus,40
Aegithalos caudatus,37
Tachybaptus ruficollis,36
Picus viridis,35
Parus major,34
Acrocephalus arundinaceus,33
Passer montanus,32
Emberiza schoeniclus,31
Streptopelia turtur,31
Trithemis annulata,30
Acrocephalus melanopogon,29
Himantopus himantopus,28
Motacilla flava,28
Chloris chloris,27
Corvus monedula,27
Podarcis siculus,26
Crocothemis erythraea,25
Orthetrum cancellatum,25
Leiothrix lutea,23
Grus grus,22
Oenanthe oenanthe,21
Plegadis falcinellus,21
Galerida cristata,19
Pandion haliaetus,19
Riparia riparia,18
Garrulus glandarius,17
Anthus pratensis,16
Hieraaetus pennatus,16
Ischnura elegans,16
Motacilla cinerea,16
Upupa epops,16
Coracias garrulus,15
Saxicola rubetra,15
Troglodytes troglodytes,15
Tarentola mauritanica,14
Tringa glareola,14
Dendrocopos major,13
Falco columbarius,12
Falco peregrinus,12
Gallinago gallinago,12
Lasiommata megera,12
Papilio machaon,12
Tringa nebularia,12
Accipiter nisus,11
Actitis hypoleucos,11
Anthus spinoletta,11
Calidris pugnax,11
Charadrius dubius,11
Falco vespertinus,11
Sitta europaea,11
Sympetrum sanguineum,11
Amandava amandava,10
Anas crecca,10
Locustella luscinioides,10
Sterna hirundo,10
Tringa ochropus,10
Curruca melanocephala,9
Cygnus olor,9
Numenius arquata,9
Pararge aegeria,9
Podarcis muralis,9
Spinus spinus,9
Circaetus gallicus,8
Fringilla montifringilla,8
Ichthyaetus melanocephalus,8
Regulus ignicapilla,8
Remiz pendulinus,8
Vanellus vanellus,8
Alauda arvensis,7
Aythya ferina,7
Dama dama,7
Emberiza calandra,7
Mareca strepera,7
Netta rufina,7
Pimelia bipunctata,7
Ptyonoprogne rupestris,7
Recurvirostra avosetta,7
Spatula querquedula,7
Sympetrum fonscolombii,7
Tringa totanus,7
Calandrella brachydactyla,6
Charadrius hiaticula,6
Columba oenas,6
Ixobrychus minutus,6
Lanius collurio,6
Muscicapa striata,6
Nycticorax nycticorax,6
Podiceps nigricollis,6
Spatula clypeata,6
Apis mellifera,5
Bufo bufo,5
Falco subbuteo,5
Gonepteryx rhamni,5
Numenius phaeopus,5
Oriolus oriolus,5
Phoenicopterus roseus,5
Procambarus clarkii,5
Sympetrum striolatum,5
Tadorna tadorna,5
Theba pisana,5
Tringa erythropus,5
Vanessa cardui,5
Anacridium aegyptium,4
Anser anser,4
Calidris minuta,4
Cecropis daurica,4
Charadrius alexandrinus,4
Erythromma viridulum,4
Hydrocoloeus minutus,4
Jynx torquilla,4
Larus canus,4
Pernis apivorus,4
Phylloscopus trochilus,4
Polyommatus icarus,4
Sciurus vulgaris,4
Sus scrofa,4
Trachemys scripta,4
Turdus philomelos,4
Aeshna mixta,3
Aglais io,3
Anax parthenope,3
Apus melba,3
Calidris temminckii,3
Chlidonias niger,3
Cyprinus carpio,3
Gelochelidon nilotica,3
Haematopus ostralegus,3
Halyomorpha halys,3
Larus fuscus,3
Lepomis gibbosus,3
Leptotes pirithous,3
Lycaena phlaeas,3
Macroglossum stellatarum,3
Melitaea didyma,3
Milvus migrans,3
Monticola solitarius,3
Orthetrum coerulescens,3
Oryctes nasicornis,3
Oxythyrea funesta,3
Pluvialis squatarola,3
Prunella modularis,3
Thalasseus sandvicensis,3
Tyto alba,3
Acrocephalus schoenobaenus,2
Agrius convolvuli,2
Amata phegea,2
Ameles spallanzania,2
Anax ephippiger,2
Anthus trivialis,2
Argiope lobata,2
Asilus crabroniformis,2
Athene noctua,2
Bombylella atra,2
Botaurus stellaris,2
Calidris alba,2
Calidris ferruginea,2
Callophrys rubi,2
Celastrina argiolus,2
Cerambyx cerdo,2
Certhia brachydactyla,2
Chalcolestes parvidens,2
Clangula hyemalis,2
Cornu aspersum,2
Corvus corax,2
Cyrtaspis scutata,2
Emberiza cirlus,2
Falco naumanni,2
Gavia stellata,2
Graphosoma italicum,2
Harmonia axyridis,2
Hierophis viridiflavus,2
Hipparchia statilinus,2
Hippolais polyglotta,2
Hydriris ornatalis,2
Hyphantria cunea,2
Lanius senator,2
Linaria cannabina,2
Maniola jurtina,2
Mareca penelope,2
Menemerus semilimbatus,2
Micropterus salmoides,2
Nomophila noctuella,2
Oedipoda caerulescens,2
Otus scops,2
Pieris brassicae,2
Pieris rapae,2
Polistes dominula,2
Pontia edusa,2
Rana dalmatina,2
Ricania speculum,2
Satyrium ilicis,2
Scopula imitaria,2
Sphingonotus personatus,2
Steatoda grossa,2
Sylvia borin,2
Thomisus onustus,2
Tichodroma muraria,2
Tringa stagnatilis,2
Utetheisa pulchella,2
Vanessa atalanta,2
Vespa crabro,2
Vulpes vulpes,2
Acanthocardia tuberculata,1
Acherontia atropos,1
Acrida ungarica,1
Acrocephalus palustris,1
Acrometopa italica,1
Aedes albopictus,1
Agapornis roseicollis,1
Agelena labyrinthica,1
Aiolopus strepens,1
Alopochen aegyptiaca,1
Ameiurus,1
Anas acuta,1
Anser cygnoides,1
Anthus cervinus,1
Arachnocephalus vestitus,1
Araneus angulatus,1
Arctia villica,1
Argiope bruennichi,1
Asio flammeus,1
Aspitates ochrearia,1
Aythya nyroca,1
Bacillus rossius,1
Buteo rufinus,1
Cacyreus marshalli,1
Calidris alpina,1
Camponotus vagus,1
Canis lupus,1
Caretta caretta,1
Catarhoe rubidata,1
Cetonia aurata,1
Chalcolestes viridis,1
Chlidonias hybrida,1
Chlidonias leucopterus,1
Chloroclystis v-ata,1
Circus macrourus,1
Coccothraustes coccothraustes,1
Colias crocea,1
Colias croceus,1
Coreus marginatus,1
Coturnix coturnix,1
"Culex (Linnaeus,",1
Curruca cantillans,1
Curruca communis,1
Curruca curruca,1
Curruca subalpina,1
Dolycoris baccarum,1
Dorcus parallelipipedus,1
Ematurga atomaria,1
Emys orbicularis,1
Eobania vermiculata,1
Episyrphus balteatus,1
Ergates faber,1
"Erinaceus Linnaeus,",1
Eristalinus taeniops,1
Eupeodes corollae,1
Euplagia quadripunctaria,1
Eurydema ornata,1
Evarcha jucunda,1
Exochomus quadripustulatus,1
Gambusia holbrooki,1
Gavia arctica,1
Glareola pratincola,1
Glycaspis brimblecombei,1
Gulosus aristotelis,1
Habropoda tarsata,1
Helicoverpa armigera,1
Hippodamia variegata,1
Idaea aversata,1
Iphiclides podalirius,1
Lacerta bilineata,1
Lampides boeticus,1
Lanius excubitor,1
Lasiocampa quercus,1
Lestes virens,1
Limosa limosa,1
Lindenia tetraphylla,1
Linepithema humile,1
Lissotriton vulgaris,1
Locusta migratoria,1
Lucanus cervus,1
Luscinia svecica,1
Megascolia maculata,1
Meles meles,1
Mergus merganser,1
Mesosa curculionoides,1
Milesia crabroniformis,1
Milvus milvus,1
Morimus asper,1
Mugilidae indet.,1
Myathropa florea,1
Neoscona subfusca,1
Nepa cinerea,1
Nezara viridula,1
Nycterosea obstipata,1
Nymphalis polychloros,1
Ochlodes sylvanus,1
Odontotarsus robustus,1
Orthetrum brunneum,1
Pachygrapsus marmoratus,1
Palpita vitrealis,1
Panurus biarmicus,1
Pelophylax,1
Perforatus perforatus,1
Periparus ater,1
Phaneroptera nana,1
Philaeus chrysops,1
Phoenicurus phoenicurus,1
Pimelia spec.,1
Platalea leucorodia,1
Podiceps grisegena,1
Poecile palustris,1
Polygonia c-album,1
Porzana porzana,1
Puffinus yelkouan,1
Pyrgus malvoides,1
Pyrrhocorax graculus,1
Raja asterias,1
Regulus regulus,1
Rhinolophus hipposideros,1
Rhizostoma pulmo,1
Ruspolia nitidula,1
Saturnia pavoniella,1
Scarabaeus semipunctatus,1
Sceliphron caementarium,1
Sceliphron destillatorium,1
Sceliphron madraspatanum,1
Scolopax rusticola,1
Scutigera coleoptrata,1
Scytodes thoracica,1
Silurus glanis,1
Speleomantes,1
Speleomantes italicus,1
Steatoda nobilis,1
Sternula albifrons,1
Sympecma fusca,1
Tadorna ferruginea,1
Triodia sylvina,1
Tropidopola cylindrica,1
Turdus iliacus,1
Turdus pilaris,1
Vespa velutina,1
Xylocopa violacea,1
Zapornia parva,1
Zoropsis spinimana,1
